Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
SF1	BLCA	1	81	5	209
TP53	BLCA	108	85	51	92
NFE2L2	BLCA	2	96	16	212
FGFR3	BLCA	6	117	36	153
CUL1	BLCA	3	45	6	205
FOXQ1	BLCA	3	80	5	186
ERBB3	BLCA	6	56	19	217
CDKN2A	BLCA	10	94	4	94
DIAPH2	BLCA	3	72	13	232
KRAS	BLCA	1	46	4	209
ARID1A	BLCA	19	66	53	176
FOXA1	BLCA	3	111	5	194
PTEN	BLCA	6	143	6	185
FAT1	BLCA	14	142	20	163
CDKN1A	BLCA	10	73	20	188
KANSL1	BLCA	1	31	12	192
ASXL2	BLCA	4	25	13	212
STAG2	BLCA	10	65	38	208
RHOB	BLCA	1	27	12	213
RHOA	BLCA	6	101	9	167
PSIP1	BLCA	13	162	1	126
PIK3CA	BLCA	1	8	31	138
CREBBP	BLCA	19	132	23	160
ATM	BLCA	14	125	23	173
TXNIP	BLCA	1	17	7	185
TSC1	BLCA	23	129	8	160
RBM10	BLCA	3	74	7	232
KDM6A	BLCA	17	59	60	174
SPTAN1	BLCA	21	136	15	152
HRAS	BLCA	4	197	11	145
FBXW7	BLCA	12	141	14	177
RXRA	BLCA	11	144	8	160
EP300	BLCA	20	156	22	142
ERCC2	BLCA	6	41	9	173
SF3B1	BLCA	5	113	11	216
CTNNB1	BLCA	1	78	6	176
ELF3	BLCA	7	54	24	179
NRAS	BLCA	2	46	4	239
RB1	BLCA	35	76	17	160
KLF5	BLCA	3	80	11	168
GNA13	BLCA	1	20	4	179
KMT2C	BLCA	9	37	40	171
KMT2D	BLCA	12	57	60	176
ZFP36L1	BLCA	11	112	15	184
ERBB2	BLCA	4	20	23	180
