Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
AKT1	BRCA	8	116	15	464
GPS2	BRCA	0	46	1	290
TP53	BRCA	21	25	38	252
MAP3K1	BRCA	12	144	43	425
CBFB	BRCA	0	75	1	244
CDH1	BRCA	0	79	9	235
PIK3R1	BRCA	5	135	12	464
GATA3	BRCA	14	207	75	445
KRAS	BRCA	1	198	4	546
ARID1A	BRCA	2	52	12	447
FOXA1	BRCA	0	160	23	461
PTEN	BRCA	4	59	13	510
RUNX1	BRCA	8	167	20	509
CTCF	BRCA	0	74	5	236
CDKN1B	BRCA	1	169	5	523
CHD4	BRCA	3	197	13	508
NF1	BRCA	2	172	4	404
PIK3CA	BRCA	70	175	179	370
TBX3	BRCA	3	120	18	523
NCOR1	BRCA	4	50	9	298
FBXW7	BRCA	0	74	5	507
BRCA1	BRCA	5	156	7	391
SF3B1	BRCA	1	85	12	580
MAP2K4	BRCA	1	43	2	296
RB1	BRCA	1	56	6	394
KMT2C	BRCA	19	196	41	436
ERBB2	BRCA	10	239	7	385
CASP8	BRCA	4	76	10	578
