Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
AKT1	BRCA	0	234	15	464
GPS2	BRCA	7	491	1	290
TP53	BRCA	197	300	38	252
MAP3K1	BRCA	7	199	43	425
CBFB	BRCA	14	492	1	244
CDH1	BRCA	84	415	9	235
PIK3R1	BRCA	3	212	12	464
GATA3	BRCA	6	91	75	445
KRAS	BRCA	0	87	4	546
ARID1A	BRCA	9	312	12	447
FOXA1	BRCA	3	191	23	461
PTEN	BRCA	23	187	13	510
RUNX1	BRCA	2	127	20	509
CTCF	BRCA	10	501	5	236
CDKN1B	BRCA	0	135	5	523
CHD4	BRCA	1	115	13	508
NF1	BRCA	18	235	4	404
PIK3CA	BRCA	12	32	179	370
TBX3	BRCA	2	170	18	523
NCOR1	BRCA	20	453	9	298
FBXW7	BRCA	7	240	5	507
BRCA1	BRCA	10	265	7	391
SF3B1	BRCA	2	158	12	580
MAP2K4	BRCA	28	449	2	296
RB1	BRCA	10	345	6	394
KMT2C	BRCA	9	127	41	436
ERBB2	BRCA	1	196	7	385
CASP8	BRCA	2	167	10	578
