Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
HUWE1	HNSC	7	44	32	293
TP53	HNSC	53	7	193	130
NFE2L2	HNSC	11	98	15	338
FGFR3	HNSC	1	51	7	256
CUL3	HNSC	4	33	8	315
CDKN2A	HNSC	22	40	37	106
PTEN	HNSC	0	35	4	335
FAT1	HNSC	5	35	58	203
CYLD	HNSC	0	110	1	310
HLA-B	HNSC	1	90	16	320
KEAP1	HNSC	0	62	13	323
ZNF750	HNSC	0	96	11	336
ARID2	HNSC	4	84	11	361
RHOA	HNSC	0	9	3	133
PIK3CA	HNSC	64	303	21	116
FLNA	HNSC	5	140	7	303
EPHA2	HNSC	2	54	14	350
MYH9	HNSC	1	111	17	307
KDM6A	HNSC	0	36	12	310
HRAS	HNSC	10	54	20	268
FBXW7	HNSC	2	34	22	267
TGFBR2	HNSC	0	12	11	130
EP300	HNSC	9	103	23	302
MAPK1	HNSC	2	124	7	312
RAC1	HNSC	0	203	13	272
HLA-A	HNSC	2	86	13	327
RB1	HNSC	2	53	4	238
AJUBA	HNSC	12	136	9	279
KMT2D	HNSC	18	60	49	329
NSD1	HNSC	3	35	20	257
RASA1	HNSC	0	24	8	259
NOTCH1	HNSC	32	131	44	220
CASP8	HNSC	4	67	41	298
