Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
HUWE1	HNSC	5	120	32	293
TP53	HNSC	95	30	193	130
NFE2L2	HNSC	1	48	15	338
FGFR3	HNSC	1	190	7	256
CUL3	HNSC	4	136	8	315
CDKN2A	HNSC	37	111	37	106
PTEN	HNSC	7	116	4	335
FAT1	HNSC	42	134	58	203
CYLD	HNSC	10	79	1	310
HLA-B	HNSC	2	82	16	320
KEAP1	HNSC	7	106	13	323
ZNF750	HNSC	6	56	11	336
ARID2	HNSC	2	49	11	361
RHOA	HNSC	6	359	3	133
PIK3CA	HNSC	1	6	21	116
FLNA	HNSC	4	52	7	303
EPHA2	HNSC	3	85	14	350
MYH9	HNSC	3	71	17	307
KDM6A	HNSC	3	132	12	310
HRAS	HNSC	0	158	20	268
FBXW7	HNSC	9	170	22	267
TGFBR2	HNSC	12	338	11	130
EP300	HNSC	4	70	23	302
MAPK1	HNSC	0	65	7	312
RAC1	HNSC	0	23	13	272
HLA-A	HNSC	3	80	13	327
RB1	HNSC	8	200	4	238
AJUBA	HNSC	8	66	9	279
KMT2D	HNSC	5	48	49	329
NSD1	HNSC	34	156	20	257
RASA1	HNSC	7	208	8	259
NOTCH1	HNSC	6	69	44	220
CASP8	HNSC	6	89	41	298
