Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
ZCCHC12	LGG	1	75	4	376
TP53	LGG	11	4	213	243
NIPBL	LGG	1	30	15	438
PIK3R1	LGG	1	32	20	435
IDH2	LGG	1	51	20	409
IDH1	LGG	19	5	358	101
SETD2	LGG	1	43	7	427
MAX	LGG	0	113	4	377
ARID1A	LGG	11	177	5	289
PTEN	LGG	19	90	2	377
TCF12	LGG	3	62	11	407
ZBTB20	LGG	1	34	16	431
PTPN11	LGG	1	56	6	417
FUBP1	LGG	44	135	0	300
NF1	LGG	6	13	22	434
ARID2	LGG	2	63	8	403
PIK3CA	LGG	2	22	36	416
EGFR	LGG	0	4	4	366
ATRX	LGG	19	49	124	244
PLCG1	LGG	0	3	2	445
CIC	LGG	106	129	0	230
SMARCA4	LGG	2	14	18	345
NRAS	LGG	3	175	1	300
NOTCH1	LGG	1	46	34	375
