Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
AKT1	UCEC	2	59	9	278
TP53	UCEC	15	3	46	222
NFE2L2	UCEC	2	77	18	281
MAP3K1	UCEC	1	22	21	258
ERBB3	UCEC	8	72	17	274
PIK3R1	UCEC	5	12	88	193
FGFR2	UCEC	12	84	26	221
KRAS	UCEC	15	59	54	235
CCND1	UCEC	1	52	22	271
MAX	UCEC	0	35	8	297
ARID1A	UCEC	1	30	140	151
PTEN	UCEC	53	31	164	79
FAT1	UCEC	0	13	37	241
SIN3A	UCEC	0	18	24	249
CTCF	UCEC	0	13	63	184
ZFHX3	UCEC	2	18	49	190
CTNND1	UCEC	1	38	16	293
PDS5B	UCEC	0	24	14	270
MYCN	UCEC	2	94	9	271
KANSL1	UCEC	1	32	28	243
CHD4	UCEC	12	63	47	237
SOX17	UCEC	5	144	12	225
FOXA2	UCEC	5	94	14	263
SMC1A	UCEC	1	66	14	263
INPPL1	UCEC	0	43	36	264
ARHGAP35	UCEC	9	40	37	257
TAF1	UCEC	3	63	36	242
PIK3CA	UCEC	45	80	124	136
PPP2R1A	UCEC	18	36	27	264
ATM	UCEC	0	20	30	266
ATR	UCEC	2	95	17	263
PIK3R2	UCEC	0	72	12	263
ATF7IP	UCEC	1	62	15	278
FBXW7	UCEC	1	5	42	249
ARID5B	UCEC	7	93	27	231
RRAS2	UCEC	1	31	5	281
SCAF4	UCEC	0	43	30	276
BCOR	UCEC	1	57	38	233
EP300	UCEC	1	30	25	235
DICER1	UCEC	0	53	19	274
SOS1	UCEC	3	86	11	282
PBRM1	UCEC	4	45	14	272
ACVR1	UCEC	2	71	16	287
MSH6	UCEC	0	84	16	284
CTNNB1	UCEC	2	37	73	228
NRAS	UCEC	0	50	8	310
RB1	UCEC	1	27	15	260
KMT2C	UCEC	9	52	33	245
KMT2B	UCEC	1	79	64	217
SPOP	UCEC	7	34	20	262
CHD3	UCEC	0	15	39	228
ZMYM2	UCEC	1	27	21	267
ERBB2	UCEC	3	59	12	256
U2AF1	UCEC	2	51	4	292
