Gene	Tissue	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
AKT1	UCEC	0	46	9	278
TP53	UCEC	89	17	46	222
NFE2L2	UCEC	1	15	18	281
MAP3K1	UCEC	1	87	21	258
ERBB3	UCEC	0	23	17	274
PIK3R1	UCEC	10	81	88	193
FGFR2	UCEC	4	47	26	221
KRAS	UCEC	0	31	54	235
CCND1	UCEC	0	47	22	271
MAX	UCEC	0	54	8	297
ARID1A	UCEC	6	62	140	151
PTEN	UCEC	6	45	164	79
FAT1	UCEC	4	91	37	241
SIN3A	UCEC	1	102	24	249
CTCF	UCEC	4	127	63	184
ZFHX3	UCEC	4	121	49	190
CTNND1	UCEC	1	44	16	293
PDS5B	UCEC	1	85	14	270
MYCN	UCEC	0	18	9	271
KANSL1	UCEC	0	90	28	243
CHD4	UCEC	2	33	47	237
SOX17	UCEC	0	8	12	225
FOXA2	UCEC	2	16	14	263
SMC1A	UCEC	3	46	14	263
INPPL1	UCEC	1	50	36	264
ARHGAP35	UCEC	3	48	37	257
TAF1	UCEC	6	44	36	242
PIK3CA	UCEC	3	5	124	136
PPP2R1A	UCEC	12	36	27	264
ATM	UCEC	5	71	30	266
ATR	UCEC	0	17	17	263
PIK3R2	UCEC	1	46	12	263
ATF7IP	UCEC	0	37	15	278
FBXW7	UCEC	11	85	42	249
ARID5B	UCEC	0	36	27	231
RRAS2	UCEC	0	76	5	281
SCAF4	UCEC	1	44	30	276
BCOR	UCEC	2	62	38	233
EP300	UCEC	2	99	25	235
DICER1	UCEC	0	47	19	274
SOS1	UCEC	1	10	11	282
PBRM1	UCEC	0	58	14	272
ACVR1	UCEC	0	18	16	287
MSH6	UCEC	0	9	16	284
CTNNB1	UCEC	1	52	73	228
NRAS	UCEC	0	26	8	310
RB1	UCEC	7	79	15	260
KMT2C	UCEC	0	52	33	245
KMT2B	UCEC	0	32	64	217
SPOP	UCEC	2	68	20	262
CHD3	UCEC	0	111	39	228
ZMYM2	UCEC	1	75	21	267
ERBB2	UCEC	1	63	12	256
U2AF1	UCEC	1	44	4	292
