Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
TP53_FOXQ1	BLCA	WithSecondM	2	1	1	4
TP53_FOXQ1	BLCA	WOSecondM	23	18	52	90
TP53_SPTAN1	BLCA	WithSecondM	2	2	7	17
TP53_SPTAN1	BLCA	WOSecondM	23	17	46	77
TP53_CDKN1A	BLCA	WithSecondM	1	4	5	11
TP53_CDKN1A	BLCA	WOSecondM	24	15	48	83
TP53_ATM	BLCA	WithSecondM	5	5	3	15
TP53_ATM	BLCA	WOSecondM	20	14	50	79
TP53_SF3B1	BLCA	WithSecondM	1	2	4	5
TP53_SF3B1	BLCA	WOSecondM	24	17	49	89
TP53_ERCC2	BLCA	WithSecondM	3	3	6	5
TP53_ERCC2	BLCA	WOSecondM	22	16	47	89
TP53_SF1	BLCA	WithSecondM	1	1	2	2
TP53_SF1	BLCA	WOSecondM	24	18	51	92
TP53_CTNNB1	BLCA	WithSecondM	2	2	2	4
TP53_CTNNB1	BLCA	WOSecondM	23	17	51	90
TP53_TXNIP	BLCA	WithSecondM	2	2	4	2
TP53_TXNIP	BLCA	WOSecondM	23	17	49	92
TP53_ELF3	BLCA	WithSecondM	3	2	4	7
TP53_ELF3	BLCA	WOSecondM	22	17	49	87
TP53_TSC1	BLCA	WithSecondM	3	2	3	8
TP53_TSC1	BLCA	WOSecondM	22	17	50	86
TP53_KANSL1	BLCA	WithSecondM	2	1	5	5
TP53_KANSL1	BLCA	WOSecondM	23	18	48	89
TP53_NFE2L2	BLCA	WithSecondM	3	1	2	13
TP53_NFE2L2	BLCA	WOSecondM	22	18	51	81
TP53_ASXL2	BLCA	WithSecondM	3	2	4	8
TP53_ASXL2	BLCA	WOSecondM	22	17	49	86
TP53_NRAS	BLCA	WithSecondM	1	2	1	2
TP53_NRAS	BLCA	WOSecondM	24	17	52	92
TP53_RB1	BLCA	WithSecondM	12	4	19	9
TP53_RB1	BLCA	WOSecondM	13	15	34	85
TP53_KLF5	BLCA	WithSecondM	2	2	4	8
TP53_KLF5	BLCA	WOSecondM	23	17	49	86
TP53_RBM10	BLCA	WithSecondM	1	1	3	1
TP53_RBM10	BLCA	WOSecondM	24	18	50	93
TP53_KDM6A	BLCA	WithSecondM	4	4	17	19
TP53_KDM6A	BLCA	WOSecondM	21	15	36	75
TP53_CUL1	BLCA	WithSecondM	2	2	4	3
TP53_CUL1	BLCA	WOSecondM	23	17	49	91
TP53_FBXW7	BLCA	WithSecondM	2	2	6	9
TP53_FBXW7	BLCA	WOSecondM	23	17	47	85
TP53_KMT2C	BLCA	WithSecondM	3	4	8	18
TP53_KMT2C	BLCA	WOSecondM	22	15	45	76
TP53_ERBB3	BLCA	WithSecondM	4	3	4	9
TP53_ERBB3	BLCA	WOSecondM	21	16	49	85
TP53_CDKN2A	BLCA	WithSecondM	2	1	5	2
TP53_CDKN2A	BLCA	WOSecondM	23	18	48	92
TP53_DIAPH2	BLCA	WithSecondM	3	2	5	4
TP53_DIAPH2	BLCA	WOSecondM	22	17	48	90
TP53_KMT2D	BLCA	WithSecondM	6	7	11	23
TP53_KMT2D	BLCA	WOSecondM	19	12	42	71
TP53_STAG2	BLCA	WithSecondM	2	2	4	17
TP53_STAG2	BLCA	WOSecondM	23	17	49	77
TP53_RXRA	BLCA	WithSecondM	1	1	3	5
TP53_RXRA	BLCA	WOSecondM	24	18	50	89
TP53_ZFP36L1	BLCA	WithSecondM	2	2	6	7
TP53_ZFP36L1	BLCA	WOSecondM	23	17	47	87
TP53_HRAS	BLCA	WithSecondM	1	3	2	9
TP53_HRAS	BLCA	WOSecondM	24	16	51	85
TP53_RHOB	BLCA	WithSecondM	3	1	4	4
TP53_RHOB	BLCA	WOSecondM	22	18	49	90
TP53_RHOA	BLCA	WithSecondM	1	1	3	6
TP53_RHOA	BLCA	WOSecondM	24	18	50	88
TP53_EP300	BLCA	WithSecondM	8	2	9	13
TP53_EP300	BLCA	WOSecondM	17	17	44	81
TP53_FGFR3	BLCA	WithSecondM	1	5	5	26
TP53_FGFR3	BLCA	WOSecondM	24	14	48	68
TP53_KRAS	BLCA	WithSecondM	1	2	2	8
TP53_KRAS	BLCA	WOSecondM	24	17	51	86
TP53_PSIP1	BLCA	WithSecondM	3	1	1	3
TP53_PSIP1	BLCA	WOSecondM	22	18	52	91
TP53_ERBB2	BLCA	WithSecondM	5	1	8	13
TP53_ERBB2	BLCA	WOSecondM	20	18	45	81
TP53_ARID1A	BLCA	WithSecondM	10	4	12	28
TP53_ARID1A	BLCA	WOSecondM	15	15	41	66
TP53_FOXA1	BLCA	WithSecondM	1	1	4	3
TP53_FOXA1	BLCA	WOSecondM	24	18	49	91
TP53_PTEN	BLCA	WithSecondM	3	1	3	3
TP53_PTEN	BLCA	WOSecondM	22	18	50	91
TP53_FAT1	BLCA	WithSecondM	3	3	4	12
TP53_FAT1	BLCA	WOSecondM	22	16	49	82
TP53_GNA13	BLCA	WithSecondM	2	1	1	2
TP53_GNA13	BLCA	WOSecondM	23	18	52	92
TP53_PIK3CA	BLCA	WithSecondM	4	3	12	21
TP53_PIK3CA	BLCA	WOSecondM	21	16	41	73
TP53_CREBBP	BLCA	WithSecondM	4	2	8	12
TP53_CREBBP	BLCA	WOSecondM	21	17	45	82
KRAS_FOXQ1	BLCA	WithSecondM	1	3	2	8
KRAS_FOXQ1	BLCA	WOSecondM	11	111	4	203
KRAS_SPTAN1	BLCA	WithSecondM	1	12	1	28
KRAS_SPTAN1	BLCA	WOSecondM	11	102	5	183
KRAS_CDKN1A	BLCA	WithSecondM	1	6	1	26
KRAS_CDKN1A	BLCA	WOSecondM	11	108	5	185
KRAS_ATM	BLCA	WithSecondM	1	14	3	27
KRAS_ATM	BLCA	WOSecondM	11	100	3	184
KRAS_SF3B1	BLCA	WithSecondM	2	8	2	10
KRAS_SF3B1	BLCA	WOSecondM	10	106	4	201
KRAS_ERCC2	BLCA	WithSecondM	1	12	1	17
KRAS_ERCC2	BLCA	WOSecondM	11	102	5	194
KRAS_SF1	BLCA	WithSecondM	2	2	1	5
KRAS_SF1	BLCA	WOSecondM	10	112	5	206
KRAS_CTNNB1	BLCA	WithSecondM	1	7	3	5
KRAS_CTNNB1	BLCA	WOSecondM	11	107	3	206
KRAS_TXNIP	BLCA	WithSecondM	1	5	1	9
