Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TSC1_FOXQ1	BLCA	WithSecondM	3	5	1	6
TSC1_FOXQ1	BLCA	WOSecondM	22	126	9	156
TSC1_SPTAN1	BLCA	WithSecondM	6	17	4	12
TSC1_SPTAN1	BLCA	WOSecondM	19	114	6	150
TSC1_CDKN1A	BLCA	WithSecondM	7	17	1	11
TSC1_CDKN1A	BLCA	WOSecondM	18	114	9	151
TSC1_ATM	BLCA	WithSecondM	3	13	2	28
TSC1_ATM	BLCA	WOSecondM	22	118	8	134
TSC1_SF3B1	BLCA	WithSecondM	1	7	2	10
TSC1_SF3B1	BLCA	WOSecondM	24	124	8	152
TSC1_ERCC2	BLCA	WithSecondM	2	7	3	17
TSC1_ERCC2	BLCA	WOSecondM	23	124	7	145
TSC1_SF1	BLCA	WithSecondM	2	3	1	2
TSC1_SF1	BLCA	WOSecondM	23	128	9	160
TSC1_CTNNB1	BLCA	WithSecondM	1	3	1	10
TSC1_CTNNB1	BLCA	WOSecondM	24	128	9	152
TSC1_TXNIP	BLCA	WithSecondM	1	7	1	6
TSC1_TXNIP	BLCA	WOSecondM	24	124	9	156
TSC1_ELF3	BLCA	WithSecondM	7	23	2	13
TSC1_ELF3	BLCA	WOSecondM	18	108	8	149
TSC1_KANSL1	BLCA	WithSecondM	3	9	1	7
TSC1_KANSL1	BLCA	WOSecondM	22	122	9	155
TSC1_TP53	BLCA	WithSecondM	9	56	5	83
TSC1_TP53	BLCA	WOSecondM	16	75	5	79
TSC1_NFE2L2	BLCA	WithSecondM	2	7	2	13
TSC1_NFE2L2	BLCA	WOSecondM	23	124	8	149
TSC1_ASXL2	BLCA	WithSecondM	7	11	2	8
TSC1_ASXL2	BLCA	WOSecondM	18	120	8	154
TSC1_NRAS	BLCA	WithSecondM	2	2	1	6
TSC1_NRAS	BLCA	WOSecondM	23	129	9	156
TSC1_RB1	BLCA	WithSecondM	2	14	3	36
TSC1_RB1	BLCA	WOSecondM	23	117	7	126
TSC1_KLF5	BLCA	WithSecondM	2	5	1	12
TSC1_KLF5	BLCA	WOSecondM	23	126	9	150
TSC1_RBM10	BLCA	WithSecondM	1	6	2	5
TSC1_RBM10	BLCA	WOSecondM	24	125	8	157
TSC1_KDM6A	BLCA	WithSecondM	7	43	3	33
TSC1_KDM6A	BLCA	WOSecondM	18	88	7	129
TSC1_CUL1	BLCA	WithSecondM	3	4	1	4
TSC1_CUL1	BLCA	WOSecondM	22	127	9	158
TSC1_FBXW7	BLCA	WithSecondM	2	12	1	14
TSC1_FBXW7	BLCA	WOSecondM	23	119	9	148
TSC1_KMT2C	BLCA	WithSecondM	6	20	1	35
TSC1_KMT2C	BLCA	WOSecondM	19	111	9	127
TSC1_ERBB3	BLCA	WithSecondM	3	12	3	20
TSC1_ERBB3	BLCA	WOSecondM	22	119	7	142
TSC1_CDKN2A	BLCA	WithSecondM	1	4	2	8
TSC1_CDKN2A	BLCA	WOSecondM	24	127	8	154
TSC1_DIAPH2	BLCA	WithSecondM	3	7	1	10
TSC1_DIAPH2	BLCA	WOSecondM	22	124	9	152
TSC1_KMT2D	BLCA	WithSecondM	9	27	2	43
TSC1_KMT2D	BLCA	WOSecondM	16	104	8	119
TSC1_STAG2	BLCA	WithSecondM	2	22	3	19
TSC1_STAG2	BLCA	WOSecondM	23	109	7	143
TSC1_RXRA	BLCA	WithSecondM	2	11	3	7
TSC1_RXRA	BLCA	WOSecondM	23	120	7	155
TSC1_ZFP36L1	BLCA	WithSecondM	4	11	2	12
