Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
AJUBA_HUWE1	HNSC	WithSecondM	1	6	2	31
AJUBA_HUWE1	HNSC	WOSecondM	9	62	9	250
AJUBA_EPHA2	HNSC	WithSecondM	1	2	5	9
AJUBA_EPHA2	HNSC	WOSecondM	9	66	6	272
AJUBA_KEAP1	HNSC	WithSecondM	2	3	1	11
AJUBA_KEAP1	HNSC	WOSecondM	8	65	10	270
AJUBA_NFE2L2	HNSC	WithSecondM	3	5	4	9
AJUBA_NFE2L2	HNSC	WOSecondM	7	63	7	272
AJUBA_MYH9	HNSC	WithSecondM	1	2	1	17
AJUBA_MYH9	HNSC	WOSecondM	9	66	10	264
AJUBA_RB1	HNSC	WithSecondM	1	3	2	7
AJUBA_RB1	HNSC	WOSecondM	9	65	9	274
AJUBA_KDM6A	HNSC	WithSecondM	2	3	1	10
AJUBA_KDM6A	HNSC	WOSecondM	8	65	10	271
AJUBA_HRAS	HNSC	WithSecondM	1	2	4	25
AJUBA_HRAS	HNSC	WOSecondM	9	66	7	256
AJUBA_FBXW7	HNSC	WithSecondM	1	5	3	16
AJUBA_FBXW7	HNSC	WOSecondM	9	63	8	265
AJUBA_TGFBR2	HNSC	WithSecondM	1	2	3	17
AJUBA_TGFBR2	HNSC	WOSecondM	9	66	8	264
AJUBA_CDKN2A	HNSC	WithSecondM	1	11	5	44
AJUBA_CDKN2A	HNSC	WOSecondM	9	57	6	237
AJUBA_KMT2D	HNSC	WithSecondM	1	9	2	42
AJUBA_KMT2D	HNSC	WOSecondM	9	59	9	239
AJUBA_ARID2	HNSC	WithSecondM	1	2	1	14
AJUBA_ARID2	HNSC	WOSecondM	9	66	10	267
AJUBA_ZNF750	HNSC	WithSecondM	1	2	2	11
AJUBA_ZNF750	HNSC	WOSecondM	9	66	9	270
AJUBA_EP300	HNSC	WithSecondM	1	2	3	21
AJUBA_EP300	HNSC	WOSecondM	9	66	8	260
AJUBA_RASA1	HNSC	WithSecondM	1	5	1	8
AJUBA_RASA1	HNSC	WOSecondM	9	63	10	273
AJUBA_TP53	HNSC	WithSecondM	9	56	5	157
AJUBA_TP53	HNSC	WOSecondM	1	12	6	124
AJUBA_NOTCH1	HNSC	WithSecondM	1	10	3	46
AJUBA_NOTCH1	HNSC	WOSecondM	9	58	8	235
AJUBA_CASP8	HNSC	WithSecondM	1	3	6	33
AJUBA_CASP8	HNSC	WOSecondM	9	65	5	248
AJUBA_PTEN	HNSC	WithSecondM	2	4	1	6
AJUBA_PTEN	HNSC	WOSecondM	8	64	10	275
AJUBA_FAT1	HNSC	WithSecondM	2	16	5	62
AJUBA_FAT1	HNSC	WOSecondM	8	52	6	219
AJUBA_CYLD	HNSC	WithSecondM	2	3	1	7
