Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
NF1_CIC	LGG	WithSecondM	1	2	2	100
NF1_CIC	LGG	WOSecondM	7	13	22	336
NF1_FUBP1	LGG	WithSecondM	1	1	5	40
NF1_FUBP1	LGG	WOSecondM	7	14	19	396
NF1_EGFR	LGG	WithSecondM	3	1	4	28
NF1_EGFR	LGG	WOSecondM	5	14	20	408
NF1_SMARCA4	LGG	WithSecondM	1	1	1	24
NF1_SMARCA4	LGG	WOSecondM	7	14	23	412
NF1_PIK3CA	LGG	WithSecondM	2	3	1	34
NF1_PIK3CA	LGG	WOSecondM	6	12	23	402
NF1_NIPBL	LGG	WithSecondM	1	1	2	17
NF1_NIPBL	LGG	WOSecondM	7	14	22	419
NF1_PIK3R1	LGG	WithSecondM	1	1	2	19
NF1_PIK3R1	LGG	WOSecondM	7	14	22	417
NF1_ARID2	LGG	WithSecondM	1	1	2	10
NF1_ARID2	LGG	WOSecondM	7	14	22	426
NF1_IDH2	LGG	WithSecondM	1	1	2	21
NF1_IDH2	LGG	WOSecondM	7	14	22	415
NF1_IDH1	LGG	WithSecondM	1	12	9	349
NF1_IDH1	LGG	WOSecondM	7	3	15	87
NF1_ATRX	LGG	WithSecondM	1	7	5	169
NF1_ATRX	LGG	WOSecondM	7	8	19	267
NF1_TP53	LGG	WithSecondM	3	12	4	212
NF1_TP53	LGG	WOSecondM	5	3	20	224
NF1_NOTCH1	LGG	WithSecondM	1	2	4	32
NF1_NOTCH1	LGG	WOSecondM	7	13	20	404
NF1_PTEN	LGG	WithSecondM	3	1	6	14
NF1_PTEN	LGG	WOSecondM	5	14	18	422
NF1_TCF12	LGG	WithSecondM	1	1	1	15
NF1_TCF12	LGG	WOSecondM	7	14	23	421
NF1_ZBTB20	LGG	WithSecondM	2	1	2	14
NF1_ZBTB20	LGG	WOSecondM	6	14	22	422
NF1_ARID1A	LGG	WithSecondM	1	1	1	15
NF1_ARID1A	LGG	WOSecondM	7	14	23	421
PTEN_CIC	LGG	WithSecondM	1	5	2	102
PTEN_CIC	LGG	WOSecondM	20	87	2	277
