Gene	Tissue	Target	Mut_Loss	NoMut_Loss	Mut_WT	NoMut_WT
TP53_CTNNB1	LUAD	WithSecondM	3	1	1	7
TP53_CTNNB1	LUAD	WOSecondM	111	84	51	120
TP53_MGA	LUAD	WithSecondM	3	3	2	6
TP53_MGA	LUAD	WOSecondM	111	82	50	121
TP53_CDKN2A	LUAD	WithSecondM	7	1	4	3
TP53_CDKN2A	LUAD	WOSecondM	107	84	48	124
TP53_KEAP1	LUAD	WithSecondM	7	7	7	26
TP53_KEAP1	LUAD	WOSecondM	107	78	45	101
TP53_U2AF1	LUAD	WithSecondM	6	5	2	3
TP53_U2AF1	LUAD	WOSecondM	108	80	50	124
TP53_PIK3CA	LUAD	WithSecondM	5	3	2	7
TP53_PIK3CA	LUAD	WOSecondM	109	82	50	120
TP53_ARID1A	LUAD	WithSecondM	6	4	2	3
TP53_ARID1A	LUAD	WOSecondM	108	81	50	124
TP53_ATM	LUAD	WithSecondM	1	15	2	5
TP53_ATM	LUAD	WOSecondM	113	70	50	122
TP53_EGFR	LUAD	WithSecondM	20	13	7	8
TP53_EGFR	LUAD	WOSecondM	94	72	45	119
TP53_RB1	LUAD	WithSecondM	8	2	3	2
TP53_RB1	LUAD	WOSecondM	106	83	49	125
TP53_STK11	LUAD	WithSecondM	13	15	6	31
TP53_STK11	LUAD	WOSecondM	101	70	46	96
TP53_MET	LUAD	WithSecondM	1	7	2	3
TP53_MET	LUAD	WOSecondM	113	78	50	124
TP53_RBM10	LUAD	WithSecondM	6	5	1	15
TP53_RBM10	LUAD	WOSecondM	108	80	51	112
TP53_BRAF	LUAD	WithSecondM	10	2	5	14
TP53_BRAF	LUAD	WOSecondM	104	83	47	113
TP53_NF1	LUAD	WithSecondM	13	5	8	5
TP53_NF1	LUAD	WOSecondM	101	80	44	122
TP53_SETD2	LUAD	WithSecondM	4	8	4	10
TP53_SETD2	LUAD	WOSecondM	110	77	48	117
TP53_SMARCA4	LUAD	WithSecondM	7	6	4	5
TP53_SMARCA4	LUAD	WOSecondM	107	79	48	122
TP53_KRAS	LUAD	WithSecondM	30	34	11	52
TP53_KRAS	LUAD	WOSecondM	84	51	41	75
KEAP1_CTNNB1	LUAD	WithSecondM	3	4	2	2
KEAP1_CTNNB1	LUAD	WOSecondM	39	156	8	178
KEAP1_MGA	LUAD	WithSecondM	2	7	1	5
KEAP1_MGA	LUAD	WOSecondM	40	153	9	175
KEAP1_CDKN2A	LUAD	WithSecondM	3	5	1	7
KEAP1_CDKN2A	LUAD	WOSecondM	39	155	9	173
KEAP1_TP53	LUAD	WithSecondM	13	81	4	73
KEAP1_TP53	LUAD	WOSecondM	29	79	6	107
KEAP1_U2AF1	LUAD	WithSecondM	1	7	1	7
KEAP1_U2AF1	LUAD	WOSecondM	41	153	9	173
KEAP1_PIK3CA	LUAD	WithSecondM	1	5	1	11
KEAP1_PIK3CA	LUAD	WOSecondM	41	155	9	169
KEAP1_ARID1A	LUAD	WithSecondM	3	8	1	4
KEAP1_ARID1A	LUAD	WOSecondM	39	152	9	176
KEAP1_ATM	LUAD	WithSecondM	3	16	1	6
KEAP1_ATM	LUAD	WOSecondM	39	144	9	174
KEAP1_EGFR	LUAD	WithSecondM	1	27	1	25
KEAP1_EGFR	LUAD	WOSecondM	41	133	9	155
KEAP1_RB1	LUAD	WithSecondM	1	4	1	11
KEAP1_RB1	LUAD	WOSecondM	41	156	9	169
KEAP1_STK11	LUAD	WithSecondM	10	38	6	12
KEAP1_STK11	LUAD	WOSecondM	32	122	4	168
KEAP1_MET	LUAD	WithSecondM	1	5	1	6
KEAP1_MET	LUAD	WOSecondM	41	155	9	174
KEAP1_RBM10	LUAD	WithSecondM	1	8	3	15
KEAP1_RBM10	LUAD	WOSecondM	41	152	7	165
KEAP1_BRAF	LUAD	WithSecondM	3	8	1	19
KEAP1_BRAF	LUAD	WOSecondM	39	152	9	161
KEAP1_NF1	LUAD	WithSecondM	1	9	3	18
KEAP1_NF1	LUAD	WOSecondM	41	151	7	162
KEAP1_SETD2	LUAD	WithSecondM	3	8	2	14
KEAP1_SETD2	LUAD	WOSecondM	39	152	8	166
