Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
KRAS_TGFBR2	PAAD	WithSecondM	2	1	4	2
KRAS_TGFBR2	PAAD	WOSecondM	34	3	65	44
KRAS_CDKN2A	PAAD	WithSecondM	10	1	20	3
KRAS_CDKN2A	PAAD	WOSecondM	26	3	49	43
KRAS_TP53	PAAD	WithSecondM	31	1	48	15
KRAS_TP53	PAAD	WOSecondM	5	3	21	31
KRAS_GNAS	PAAD	WithSecondM	1	1	3	4
KRAS_GNAS	PAAD	WOSecondM	35	3	66	42
KRAS_SMAD4	PAAD	WithSecondM	7	1	24	5
KRAS_SMAD4	PAAD	WOSecondM	29	3	45	41
KRAS_ARID1A	PAAD	WithSecondM	2	1	5	4
KRAS_ARID1A	PAAD	WOSecondM	34	3	64	42
KRAS_RNF43	PAAD	WithSecondM	2	1	9	1
KRAS_RNF43	PAAD	WOSecondM	34	3	60	45
KRAS_KDM6A	PAAD	WithSecondM	1	1	5	2
KRAS_KDM6A	PAAD	WOSecondM	35	3	64	44
