Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
NRAS_CTNNB1	SKCM	WithSecondM	1	2	5	8
NRAS_CTNNB1	SKCM	WOSecondM	42	35	50	125
NRAS_MAP2K1	SKCM	WithSecondM	2	2	3	11
NRAS_MAP2K1	SKCM	WOSecondM	41	35	52	122
NRAS_MECOM	SKCM	WithSecondM	1	2	1	3
NRAS_MECOM	SKCM	WOSecondM	42	35	54	130
NRAS_RB1	SKCM	WithSecondM	3	1	3	7
NRAS_RB1	SKCM	WOSecondM	40	36	52	126
NRAS_PPP6C	SKCM	WithSecondM	3	2	5	3
NRAS_PPP6C	SKCM	WOSecondM	40	35	50	130
NRAS_NF1	SKCM	WithSecondM	2	3	5	10
NRAS_NF1	SKCM	WOSecondM	41	34	50	123
NRAS_CDKN2A	SKCM	WithSecondM	7	6	9	15
NRAS_CDKN2A	SKCM	WOSecondM	36	31	46	118
NRAS_DDX3X	SKCM	WithSecondM	4	1	6	5
NRAS_DDX3X	SKCM	WOSecondM	39	36	49	128
NRAS_RQCD1	SKCM	WithSecondM	3	2	3	6
NRAS_RQCD1	SKCM	WOSecondM	40	35	52	127
NRAS_RAC1	SKCM	WithSecondM	4	4	3	6
NRAS_RAC1	SKCM	WOSecondM	39	33	52	127
NRAS_ARID2	SKCM	WithSecondM	7	4	7	11
NRAS_ARID2	SKCM	WOSecondM	36	33	48	122
NRAS_IDH1	SKCM	WithSecondM	2	1	8	8
NRAS_IDH1	SKCM	WOSecondM	41	36	47	125
NRAS_COL5A1	SKCM	WithSecondM	1	2	2	5
NRAS_COL5A1	SKCM	WOSecondM	42	35	53	128
NRAS_DACH1	SKCM	WithSecondM	1	2	1	3
NRAS_DACH1	SKCM	WOSecondM	42	35	54	130
NRAS_BRD7	SKCM	WithSecondM	1	2	3	2
NRAS_BRD7	SKCM	WOSecondM	42	35	52	131
NRAS_TP53	SKCM	WithSecondM	13	6	7	14
NRAS_TP53	SKCM	WOSecondM	30	31	48	119
NRAS_KIT	SKCM	WithSecondM	1	2	1	10
NRAS_KIT	SKCM	WOSecondM	42	35	54	123
NRAS_PTEN	SKCM	WithSecondM	1	7	7	11
NRAS_PTEN	SKCM	WOSecondM	42	30	48	122
NRAS_CDK4	SKCM	WithSecondM	3	4	2	5
NRAS_CDK4	SKCM	WOSecondM	40	33	53	128
NRAS_BRAF	SKCM	WithSecondM	2	28	4	93
NRAS_BRAF	SKCM	WOSecondM	41	9	51	40
NRAS_GNA11	SKCM	WithSecondM	2	1	1	3
NRAS_GNA11	SKCM	WOSecondM	41	36	54	130
KIT_CTNNB1	SKCM	WithSecondM	2	3	1	9
KIT_CTNNB1	SKCM	WOSecondM	6	47	7	201
KIT_MAP2K1	SKCM	WithSecondM	1	5	1	10
KIT_MAP2K1	SKCM	WOSecondM	7	45	7	200
KIT_MECOM	SKCM	WithSecondM	1	2	2	2
KIT_MECOM	SKCM	WOSecondM	7	48	6	208
KIT_NRAS	SKCM	WithSecondM	1	15	1	69
KIT_NRAS	SKCM	WOSecondM	7	35	7	141
KIT_RB1	SKCM	WithSecondM	1	2	2	8
KIT_RB1	SKCM	WOSecondM	7	48	6	202
KIT_PPP6C	SKCM	WithSecondM	1	3	1	9
KIT_PPP6C	SKCM	WOSecondM	7	47	7	201
KIT_NF1	SKCM	WithSecondM	1	2	3	15
KIT_NF1	SKCM	WOSecondM	7	48	5	195
KIT_CDKN2A	SKCM	WithSecondM	1	8	2	27
KIT_CDKN2A	SKCM	WOSecondM	7	42	6	183
KIT_DDX3X	SKCM	WithSecondM	1	4	1	10
KIT_DDX3X	SKCM	WOSecondM	7	46	7	200
KIT_RQCD1	SKCM	WithSecondM	1	5	2	5
KIT_RQCD1	SKCM	WOSecondM	7	45	6	205
KIT_RAC1	SKCM	WithSecondM	1	3	2	9
KIT_RAC1	SKCM	WOSecondM	7	47	6	201
KIT_ARID2	SKCM	WithSecondM	1	4	2	20
KIT_ARID2	SKCM	WOSecondM	7	46	6	190
