Gene	Tissue	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
SF1	BLCA	2	85	5	209
TP53	BLCA	23	17	51	92
NFE2L2	BLCA	6	51	16	212
FGFR3	BLCA	13	56	36	153
CUL1	BLCA	5	118	6	205
FOXQ1	BLCA	4	100	5	186
ERBB3	BLCA	14	71	19	217
CDKN2A	BLCA	4	51	4	94
DIAPH2	BLCA	4	51	13	232
KRAS	BLCA	10	112	4	209
ARID1A	BLCA	23	42	53	176
FOXA1	BLCA	4	59	5	194
PTEN	BLCA	0	29	6	185
FAT1	BLCA	6	28	20	163
CDKN1A	BLCA	5	86	20	188
KANSL1	BLCA	6	140	12	192
ASXL2	BLCA	11	116	13	212
STAG2	BLCA	5	54	38	208
RHOB	BLCA	10	119	12	213
RHOA	BLCA	4	92	9	167
PSIP1	BLCA	1	74	1	126
PIK3CA	BLCA	47	158	31	138
CREBBP	BLCA	2	32	23	160
ATM	BLCA	9	36	23	173
TXNIP	BLCA	5	168	7	185
TSC1	BLCA	0	58	8	160
RBM10	BLCA	2	62	7	232
KDM6A	BLCA	18	42	60	174
SPTAN1	BLCA	5	51	15	152
HRAS	BLCA	1	22	11	145
FBXW7	BLCA	2	32	14	177
RXRA	BLCA	2	56	8	160
EP300	BLCA	10	29	22	142
ERCC2	BLCA	16	138	9	173
SF3B1	BLCA	4	34	11	216
CTNNB1	BLCA	5	117	6	176
ELF3	BLCA	18	97	24	179
NRAS	BLCA	2	90	4	239
RB1	BLCA	9	55	17	160
KLF5	BLCA	5	111	11	168
GNA13	BLCA	4	175	4	179
KMT2C	BLCA	16	105	40	171
KMT2D	BLCA	26	52	60	176
ZFP36L1	BLCA	2	57	15	184
ERBB2	BLCA	17	139	23	180
